type;price;loc;kamar_tidur;luas_tanah;luas_bangunan;sertifikasi
Rumah Second;Rp220 Jt;Prambanan, Kab. Sleman;1 KT;LT 60m²;LB 21m²;SHM
Rumah Second;Rp425 Jt;Seyegan, Kab. Sleman;2 KT;LT 100m²;LB 70m²;SHM
Rumah Second;Rp515 Jt;Kalasan, Kab. Sleman;2 KT;LT 107m²;LB 43m²;SHM
Rumah Second;Rp1,8 M;Godean, Kab. Sleman;5 KT;LT 240m²;LB 240m²;SHM
Rumah Second;Rp550 Jt;Gamping, Kab. Sleman;2 KT;LT 100m²;LB 45m²;SHM
Rumah Second;Rp695 Jt;Kotagede, Kota Yogyakarta;3 KT;LT 91m²;LB 64m²;SHM
Rumah Second;Rp3,8 M;Ngaglik, Kab. Sleman;6 KT;LT 1038m²;LB 600m²;SHM
Rumah Second;Rp500 Jt;Kalasan, Kab. Sleman;2 KT;LT 103m²;LB 90m²;SHM
Rumah Second;Rp1,6 M;Depok, Kab. Sleman;4 KT;LT 184m²;LB 240m²;SHM
Rumah Second;Rp425 Jt;Patuk, Kab. Gunung Kidul;2 KT;LT 100m²;LB 36m²;SHM
Rumah Second;Rp655 Jt;Berbah, Kab. Sleman;3 KT;LT 158m²;LB 90m²;SHM
Rumah Second;Rp6,8 M;Ngaglik, Kab. Sleman;6 KT;LT 843m²;LB 340m²;SHM
Rumah Second;Rp685 Jt;Depok, Kab. Sleman;3 KT;LT 107m²;LB 46m²;SHM
Rumah Second;Rp1,9 M;Ngaglik, Kab. Sleman;3 KT;LT 126m²;LB 120m²;SHM
Rumah Second;Rp1,7 M;Mantrijeron, Kota Yogyakarta;3 KT;LT 232m²;LB 255m²;SHM
Rumah Second;Rp385 Jt;Kasihan, Kab. Bantul;2 KT;LT 64m²;LB 40m²;SHM
Rumah Second;Rp3,9 M;Banguntapan, Kab. Bantul;9 KT;LT 330m²;LB 400m²;SHM
Rumah Second;Rp650 Jt;Gamping, Kab. Sleman;8 KT;LT 111m²;LB 111m²;SHM
Rumah Second;Rp950 Jt;Mlati, Kab. Sleman;2 KT;LT 65m²;LB 106m²;SHM
Rumah Second;Rp550 Jt;Pundong, Kab. Bantul;3 KT;LT 111m²;LB 222m²;SHM
Rumah Second;Rp900 Jt;Kalasan, Kab. Sleman;4 KT;LT 190m²;LB 170m²;SHM
Rumah Second;Rp1,2 M;Umbulharjo, Kota Yogyakarta;5 KT;LT 170m²;LB 260m²;SHM
Rumah Second;Rp1,1 M;Depok, Kab. Sleman;2 KT;LT 109m²;LB 109m²;SHM
Rumah Second;Rp500 Jt;Kalasan, Kab. Sleman;2 KT;LT 103m²;LB 95m²;SHM
Rumah Second;Rp900 Jt;Ngaglik, Kab. Sleman;3 KT;LT 130m²;LB 80m²;SHM
Rumah Second;Rp630 Jt;Gamping, Kab. Sleman;4 KT;LT 150m²;LB 130m²;SHM
Rumah Second;Rp2,3 M;Godean, Kab. Sleman;3 KT;LT 249m²;LB 117m²;SHM
Rumah Second;Rp490 Jt;Sedayu, Kab. Bantul;2 KT;LT 84m²;LB 45m²;SHM
Rumah Second;Rp2,9 M;Gamping, Kab. Sleman;4 KT;LT 134m²;LB 154m²;SHM
Rumah Second;Rp582 Jt;Berbah, Kab. Sleman;2 KT;LT 85m²;LB 46m²;SHM
Rumah Second;Rp1,5 M;Ngaglik, Kab. Sleman;3 KT;LT 104m²;LB 120m²;SHM
Rumah Second;Rp4,8 M;Mlati, Kab. Sleman;4 KT;LT 252m²;LB 250m²;HGB
Rumah Second;Rp2 M;Mlati, Kab. Sleman;2 KT;LT 174m²;LB 100m²;SHM
Rumah Second;Rp1,5 M;Kalasan, Kab. Sleman;4 KT;LT 131m²;LB 175m²;SHM
Rumah Second;Rp495 Jt;Banguntapan, Kab. Bantul;2 KT;LT 97m²;LB 50m²;SHM
Rumah Second;Rp410 Jt;Kasihan, Kab. Bantul;3 KT;LT 105m²;LB 105m²;SHM
Rumah Second;Rp1,2 M;Kalasan, Kab. Sleman;4 KT;LT 170m²;LB 102m²;SHM
Rumah Second;Rp399 Jt;Sedayu, Kab. Bantul;2 KT;LT 82m²;LB 45m²;SHM
Rumah Second;Rp2,2 M;Kasihan, Kab. Bantul;3 KT;LT 133m²;LB 95m²;SHM
Rumah Second;Rp725 Jt;Sedayu, Kab. Bantul;3 KT;LT 72m²;LB 130m²;SHM
Rumah Second;Rp535 Jt;Depok, Kab. Sleman;2 KT;LT 80m²;LB 36m²;SHM
Rumah Second;Rp710 Jt;Godean, Kab. Sleman;2 KT;LT 88m²;LB 47m²;HGB
Rumah Second;Rp1,2 M;Prambanan, Kab. Sleman;3 KT;LT 110m²;LB 125m²;SHM
Rumah Second;Rp825 Jt;Depok, Kab. Sleman;3 KT;LT 99m²;LB 66m²;SHM
Rumah Second;Rp875 Jt;Mlati, Kab. Sleman;3 KT;LT 131m²;LB 70m²;SHM
Rumah Second;Rp1,8 M;Ngemplak, Kab. Sleman;3 KT;LT 150m²;LB 104m²;SHM
Rumah Second;Rp2,3 M;Godean, Kab. Sleman;4 KT;LT 150m²;LB 250m²;SHM
Rumah Second;Rp1,1 M;Prambanan, Kab. Sleman;3 KT;LT 107m²;LB 110m²;SHM
Rumah Second;Rp815 Jt;Sleman, Kab. Sleman;3 KT;LT 110m²;LB 75m²;SHM
Rumah Second;Rp815 Jt;Mlati, Kab. Sleman;3 KT;LT 112m²;LB 75m²;SHM
Rumah Second;Rp1,5 M;Kasihan, Kab. Bantul;4 KT;LT 128m²;LB 250m²;SHM
Rumah Second;Rp1,1 M;Depok, Kab. Sleman;3 KT;LT 160m²;LB 110m²;SHM
Rumah Second;Rp430 Jt;Sedayu, Kab. Bantul;2 KT;LT 36m²;LB 81m²;SHM
Rumah Second;Rp1,3 M;Ngaglik, Kab. Sleman;3 KT;LT 80m²;LB 120m²;SHM
Rumah Second;Rp655 Jt;Ngaglik, Kab. Sleman;2 KT;LT 107m²;LB 36m²;SHM
Rumah Second;Rp465 Jt;Sleman, Kab. Sleman;2 KT;LT 92m²;LB 36m²;SHM
Rumah Second;Rp800 Jt;Kalasan, Kab. Sleman;3 KT;LT 131m²;LB 150m²;SHM
Rumah Second;Rp489 Jt;Mlati, Kab. Sleman;2 KT;LT 92m²;LB 36m²;SHM
Rumah Second;Rp4,6 M;Ngaglik, Kab. Sleman;5 KT;LT 202m²;LB 250m²;SHM
Rumah Second;Rp2,5 M;Ngemplak, Kab. Sleman;3 KT;LT 176m²;LB 170m²;SHM
Rumah Second;Rp250 Jt;Depok, Kab. Sleman;2 KT;LT 25m²;LB 88m²;SHM
Rumah Second;Rp785 Jt;Tegalrejo, Kota Yogyakarta;3 KT;LT 112m²;LB 75m²;SHM
Rumah Second;Rp4,5 M;Ngemplak, Kab. Sleman;6 KT;LT 319m²;LB 405m²;SHM
