type;price;kamar_tidur;luas_tanah;luas_bangunan;sertifikasi;area;region
Rumah Second;258.0;2.0;70.0;30.0;SHM;Berbah; Kab. Sleman
Rumah Second;16.0;4.0;201.0;150.0;SHM;Sewon; Kab. Bantul
Rumah Second;725.0;3.0;99.0;75.0;SHM;Ngaglik; Kab. Sleman
Rumah Second;11.0;4.0;100.0;108.0;SHM;Ngemplak; Kab. Sleman
Rumah Second;730.0;3.0;121.0;85.0;SHM;Kalasan; Kab. Sleman
Rumah Second;210.0;2.0;60.0;30.0;SHM;Sedayu; Kab. Bantul
Rumah Second;950.0;3.0;90.0;66.0;SHM;Gondokusuman; Kota Yogyakarta
Rumah Second;455.0;2.0;75.0;55.0;SHM;Banguntapan; Kab. Bantul
Rumah Second;950.0;3.0;118.0;138.0;SHM;Prambanan; Kab. Sleman
Rumah Second;38.0;5.0;472.0;220.0;SHM;Pakem; Kab. Sleman
Rumah Second;735.0;3.0;108.0;82.0;SHM;Berbah; Kab. Sleman
Rumah Second;530.0;2.0;90.0;50.0;SHM;Seyegan; Kab. Sleman
Rumah Second;14.0;4.0;116.0;140.0;SHM;Ngemplak; Kab. Sleman
Rumah Second;5607.0;3.0;103.0;55.0;SHM;Kalasan; Kab. Sleman
Rumah Second;450.0;2.0;75.0;40.0;SHM;Banguntapan; Kab. Bantul
Rumah Second;535.0;2.0;80.0;36.0;SHM;Ngemplak; Kab. Sleman
Rumah Second;23.0;4.0;130.0;155.0;SHM;Ngaglik; Kab. Sleman
Rumah Second;585.0;3.0;103.0;55.0;SHM;Kalasan; Kab. Sleman
Rumah Second;593.0;2.0;90.0;36.0;SHM;Depok; Kab. Sleman
Rumah Second;555.0;3.0;105.0;65.0;SHM;Godean; Kab. Sleman
Rumah Second;995.0;3.0;103.0;100.0;SHM;Ngemplak; Kab. Sleman
Rumah Second;592.0;2.0;90.0;36.0;SHM;Kalasan; Kab. Sleman
Rumah Second;16.0;3.0;130.0;130.0;SHM;Depok; Kab. Sleman
Rumah Second;995.0;3.0;103.0;100.0;SHM;Gondokusuman; Kota Yogyakarta
Rumah Second;640.0;2.0;95.0;50.0;SHM;Mlati; Kab. Sleman
Rumah Second;899.0;4.0;126.0;176.0;SHM;Prambanan; Kab. Sleman
Rumah Second;14.0;3.0;161.0;100.0;SHM;Ngaglik; Kab. Sleman
Rumah Second;27.0;4.0;765.0;200.0;SHM;Depok; Kab. Sleman
Rumah Second;968.0;3.0;105.0;60.0;SHM;Godean; Kab. Sleman
Rumah Second;11.0;3.0;118.0;120.0;SHM;Depok; Kab. Sleman
Rumah Baru;260.0;2.0;102.0;52.5;HGB;Wonosari; Kab. Gunung Kidul
